 -761.3   220.35     1.04
 -761.2   221.00     1.09
 -761.1   221.66     1.15
 -761.0   222.32     1.20
 -760.9   222.98     1.33
 -760.8   223.67     1.59
 -760.7   224.36     1.85
 -760.6   225.04     2.11
 -760.5   225.61     2.31
 -760.4   225.55     2.16
 -760.3   225.49     2.02
 -760.2   225.43     1.88
 -760.1   225.29     1.71
 -760.0   224.26     1.25
 -759.9   223.24     0.78
 -759.8   223.99     0.86
 -759.7   225.23     1.10
 -759.6   226.47     1.33
 -759.5   226.33     1.43
 -759.4   225.34     1.45
 -759.3   224.35     1.47
 -759.2   223.36     1.49
 -759.1   222.52     1.54
 -759.0   221.95     1.65
 -758.9   221.39     1.76
 -758.8   220.82     1.86
 -758.7   220.26     1.97
 -758.6   219.69     2.08
 -758.5   219.13     2.19
 -758.4   218.56     2.30
 -758.3   217.84     2.32
 -758.2   217.02     2.29
 -758.1   216.19     2.25
 -758.0   215.37     2.22
 -757.9   214.55     2.19
 -757.8   213.73     2.15
 -757.7   213.23     2.08
 -757.6   212.78     1.99
 -757.5   212.34     1.91
 -757.4   211.89     1.82
 -757.3   211.45     1.74
 -757.2   211.00     1.66
 -757.1   210.56     1.57
 -757.0   210.11     1.49
 -756.9   209.67     1.40
 -756.8   209.21     1.47
 -756.7   208.74     1.68
 -756.6   208.26     1.89
 -756.5   207.78     1.93
 -756.4   207.29     1.89
 -756.3   206.80     1.84
 -756.2   206.31     1.80
 -756.1   205.82     1.76
 -756.0   205.33     1.71
 -755.9   204.83     1.67
 -755.8   204.34     1.62
 -755.7   203.85     1.58
 -755.6   203.36     1.54
 -755.5   202.52     1.56
 -755.4   201.62     1.60
 -755.3   200.72     1.63
 -755.2   199.82     1.67
 -755.1   199.11     1.70
 -755.0   199.52     1.71
 -754.9   199.93     1.73
 -754.8   200.34     1.74
 -754.7   200.75     1.75
 -754.6   201.17     1.76
 -754.5   201.58     1.77
 -754.4   201.99     1.78
 -754.3   202.40     1.80
 -754.2   202.81     1.81
 -754.1   203.22     1.82
 -754.0   203.63     1.83
 -753.9   203.24     1.72
 -753.8   201.34     1.39
 -753.7   199.44     1.05
 -753.6   197.54     0.71
 -753.5   195.64     0.38
 -753.4   195.63     0.43
 -753.3   195.85     0.54
 -753.2   196.08     0.64
 -753.1   196.30     0.74
 -753.0   196.53     0.85
 -752.9   196.75     0.95
 -752.8   196.98     1.06
 -752.7   197.20     1.16
 -752.6   197.42     1.26
 -752.5   197.06     1.36
 -752.4   196.39     1.46
 -752.3   195.73     1.56
 -752.2   195.06     1.66
 -752.1   194.39     1.76
 -752.0   193.72     1.85
 -751.9   193.37     1.84
 -751.8   193.13     1.79
 -751.7   192.89     1.73
 -751.6   192.65     1.68
 -751.5   192.41     1.63
 -751.4   192.17     1.57
 -751.3   191.93     1.52
 -751.2   191.69     1.47
 -751.1   191.45     1.41
 -751.0   191.39     1.40
 -750.9   191.62     1.46
 -750.8   191.86     1.52
 -750.7   192.07     1.57
 -750.6   191.85     1.59
 -750.5   191.64     1.61
 -750.4   191.42     1.64
 -750.3   191.21     1.66
 -750.2   191.00     1.68
 -750.1   190.78     1.70
 -750.0   190.57     1.72
 -749.9   190.35     1.74
 -749.8   190.13     1.75
 -749.7   189.86     1.66
 -749.6   189.59     1.57
 -749.5   189.32     1.48
 -749.4   189.05     1.38
 -749.3   188.78     1.29
 -749.2   188.60     1.23
 -749.1   188.48     1.19
 -749.0   188.36     1.14
 -748.9   188.23     1.10
 -748.8   188.11     1.05
 -748.7   187.99     1.00
 -748.6   187.86     0.96
 -748.5   187.74     0.91
 -748.4   187.62     0.87
 -748.3   187.58     0.88
 -748.2   187.68     0.99
 -748.1   187.78     1.10
 -748.0   187.89     1.21
 -747.9   187.95     1.22
 -747.8   187.94     1.10
 -747.7   187.94     0.97
 -747.6   187.94     0.85
 -747.5   187.93     0.72
 -747.4   187.93     0.60
 -747.3   187.92     0.47
 -747.2   187.92     0.35
 -747.1   188.24     0.33
 -747.0   188.66     0.35
