A: Chronology for the Red Sea relative sea-level (RSL) record. where 0-150 ka BP is from Grant et al.. 2012 and 151-500 ka BP is from the present study.										
B: Red Sea RSL datapoints (in metres)										
C: Chronology for the probabilistic RSL record (in kiloyears)										
D: Lower bound of the 95% probability interval for the RSL data										
E: Upper bound of the 95% probability interval for the RSL data										
F: Probability maximum for the RSL data										
G: Lower bound of the 95% probability interval for the probability maximum										
H: Upper bound of the 95% probability interval for the probability maximum										
I: Probability maximum for the first-order time derivative (dRSL) of the RSL data (in metres per kiloyear)										
J: Lower bound of the 95% probability interval for dRSL										
K: Upper bound of the 95% probability interval for dRSL										
										
										
Age_kaBP	RSL datapoints_m	time_kyr	RSL_95low_m	RSL_95high_m	RSL_Pmax_m	RSL_Pmax95high_m	RSL_Pmax95low_m	dRSL_Pmax_m/kyr	dRSL_Pmax95low_m/kyr	dRSL_Pmax95high_m/kyr
4.119	-5.953	8.375	-32.313	-0.001	-18.508	-15.403	-21.614	6.451	-0.32	13.222
4.146	-9.823	8.5	-38.127	-3.127	-19.163	-16.055	-22.272	6.22	-0.582	13.021
4.248	-7.143	8.625	-40.336	-5.914	-19.775	-16.643	-22.907	5.039	-1.783	11.862
4.260	-3.533	8.75	-43.598	-7.684	-20.265	-17.135	-23.395	3.507	-3.319	10.334
4.401	-13.803	8.875	-40.502	-7.809	-20.534	-17.416	-23.652	2.425	-4.413	9.264
4.402	-4.263	9	-37.036	-6.289	-20.458	-17.361	-23.555	3.001	-3.853	9.855
4.478	-9.353	9.125	-36.033	-5.787	-20.376	-17.281	-23.471	5.983	-0.879	12.846
4.503	-3.723	9.25	-38.408	-7.911	-20.933	-17.835	-24.031	10.623	3.749	17.497
4.543	-3.533	9.375	-45.967	-11.287	-22.298	-19.192	-25.403	14.845	7.97	21.72
4.656	-11.043	9.5	-52.669	-13.854	-24.028	-20.899	-27.158	17.39	10.506	24.274
4.685	-4.703	9.625	-54.262	-14.742	-25.611	-22.467	-28.755	18.933	11.984	25.882
4.758	-7.323	9.75	-53.092	-16.786	-26.829	-23.68	-29.978	19.892	12.841	26.943
4.827	-12.003	9.875	-54.99	-17.955	-27.735	-24.574	-30.896	18.641	11.553	25.73
4.911	-9.743	10	-58.691	-18.827	-28.441	-25.247	-31.635	13.506	6.446	20.566
4.968	-21.443	10.125	-58.826	-17.939	-29.013	-25.83	-32.196	5.914	-1.148	12.977
5.013	-13.833	10.25	-59.024	-18.686	-29.547	-26.369	-32.724	-0.232	-7.278	6.814
5.166	-13.763	10.375	-62.02	-19.872	-30.281	-27.096	-33.465	-2.623	-9.631	4.385
5.251	-10.523	10.5	-64.006	-19.604	-31.476	-28.287	-34.664	-1.861	-8.888	5.166
5.268	-3.723	10.625	-65.045	-19.671	-33.009	-29.83	-36.187	1.348	-5.726	8.421
5.393	-7.133	10.75	-62.403	-19.79	-34.349	-31.173	-37.525	7.086	-0.033	14.205
5.421	-12.653	10.875	-67.711	-20.725	-35.119	-31.924	-38.314	14.199	7.051	21.347
5.497	-14.763	11	-68.611	-21.609	-35.719	-32.494	-38.943	20.405	13.275	27.534
5.523	-3.173	11.125	-73.396	-20.362	-37.424	-34.165	-40.683	24.389	17.272	31.506
5.534	1.067	11.25	-73.994	-21.989	-41.617	-38.35	-44.885	26.34	19.212	33.467
5.675	-10.423	11.375	-73.519	-23.058	-48.755	-45.484	-52.026	26.913	19.805	34.022
