I: Sosdian and Rosenthal chronology (ky)
J: Sosdian and Rosenthal SL (m)

t S&R	SL S&R
2777.2	-92.6
2780.0	-16.1
2783.0	24.7
2786.2	29.1
2789.1	44.0
2792.2	4.3
2795.5	-41.7
2804.0	-53.8
2806.5	-57.3
2817.9	-103.6
2821.0	-3.4
2846.4	17.9
2859.9	9.5
2864.1	23.2
2867.9	36.6
2871.1	-39.1
2874.4	-20.3
2877.6	15.2
2895.2	31.1
2898.5	39.8
2901.9	-35.4
2905.9	-3.9
2909.4	-37.1
2919.1	-3.9
2923.5	-7.6
2927.3	29.8
2931.9	-10.4
2935.4	-7.6
2938.5	-18.4
2941.1	32.9
2943.9	-23.3
2946.9	0.9
2949.8	-40.1
2952.5	-40.8
2954.5	-19.9
2957.0	-19.8
2962.7	-58.4
2970.2	-51.6
2973.8	-37.8
2977.3	-44.8
2982.0	2.7
2985.7	-29.6
2988.9	-15.1
2991.9	-36.5
2997.1	-2.6
3000.8	-12.9
3004.4	-36.3
3009.0	-16.7
3014.0	-5.7
3022.5	12.5
3026.5	-5.0
3030.4	-4.3
3033.6	-58.4
3038.0	10.1
3042.6	-39.0
3046.2	-5.5
3049.8	-4.7
3053.8	7.1
3056.4	-37.4
3060.2	31.6
3063.1	49.8
3066.5	2.0
3070.2	-17.8
3074.1	8.4
3079.2	-11.4
3085.9	-24.1
3089.5	-23.4
3094.4	-4.6
3103.9	11.2
3107.0	-49.3
3145.5	12.7
3146.7	-41.4
3149.6	-31.8
3154.1	-24.0
